Redshift (z)	distance modulus (m-M)	1-sigma error							
0.557	42.5570112	0.157456031							
0.564	42.37289175	0.292022401							
0.568	42.70924962	0.289546897							
0.571	42.39916207	0.174223964							
0.581	42.74232334	0.155462518							
0.5817	42.67204061	0.159803369							
0.583	42.40112537	0.28648393							
0.592	42.57732276	0.172394047							
0.603	42.64620471	0.278628903							
0.604	42.52697648	0.15968705							
0.61	42.90496571	0.156248253							
0.612	42.81394094	0.283023415							
0.613	42.99372466	0.16509672							
0.613	42.61670959	0.26021447							
0.619	43.05601864	0.247822482							
0.62	43.0092526	0.169564686							
0.623	42.514524	0.241428135							
0.6268	42.75861262	0.157227805							
0.631	42.88182529	0.23436967							
0.631	42.37738312	0.244974123							
0.633	43.04986353	0.169957138							
0.633	42.20167248	0.259877853							
0.64	42.76424727	0.188809377							
0.64	43.16438069	0.193749017							
0.64	42.92427543	0.280114332							
0.643	43.01126699	0.166369772							
0.645	42.81697317	0.23427313							
0.67	43.14320955	0.209654285							
0.671	42.982007	0.120545528							
0.679	43.45740634	0.195969077							
0.68	42.90403446	0.290951926							
0.687	42.83483512	0.272537782							
0.687	42.99638508	0.285188799							
0.688	43.05398603	0.165777265							
0.691	43.08876693	0.253842245							
0.695	43.21170426	0.205449194							
0.707	43.28242562	0.256253916							
0.71	43.02203881	0.184280955							
0.721	43.17567838	0.187179852							
0.73	43.27699552	0.194894052							
0.735	43.09184035	0.200575809							
0.74	43.2875467	0.198402487							
0.741	43.71725229	0.22328686							
0.75	43.24299869	0.138318458							
0.752	43.30182988	0.207071437							
0.756	43.81399219	0.192775955							
0.772	43.50999383	0.21883477							
0.78	43.60080717	0.171318833							
0.791	43.57688112	0.201343679							
0.799	43.3788294	0.233174228							
0.8	43.71406011	0.215165244							
0.81	43.36989249	0.212685692							
0.811	43.40453602	0.210619526							
0.817	43.65156374	0.210286864							
0.818	43.39289417	0.267558806							
0.821	43.64093879	0.194013592							
0.8218	43.81536396	0.213206984							
0.83	44.05065993	0.208835356							
0.839	43.39806572	0.222124147							
0.84	43.51430438	0.208697053							
0.84	43.87310319	0.222348502							
0.85	43.49425735	0.171796431							
0.854	43.60846429	0.225569906							
0.859	44.0929026	0.296965045							
0.86	43.92166067	0.172411965							
0.868	43.49328741	0.246095165							
0.87	44.2313042	0.27881729							
0.885	44.18433331	0.286230184							
0.905	43.63874001	0.257467547							
0.91	44.30551642	0.267241049							
0.9271	43.94049787	0.286707555							
0.93	43.55242958	0.289918379							
0.935	43.54019724	0.227616538							
0.949	43.44490985	0.284630783							
0.95	43.88415029	0.235845124							
0.95	43.97660751	0.291243769							
0.95	43.63831761	0.297754711							
0.96	43.61321161	0.275514631							
0.97	44.4626017	0.291454456							
0.974	43.83414326	0.17423894							
0.975	44.3337255	0.212780603							
0.978	43.50007216	0.292647302							
1.01	44.91213783	0.333748617							
1.01	44.01247454	0.375672417							
1.017	44.29397077	0.171046154							
1.02	44.3629247	0.220963762							
1.02	44.16406553	0.232339527							
1.03	44.24009336	0.141254203							
1.057	44.1506301	0.238584685							
1.092	44.00784772	0.246511865							
1.11	44.62533585	0.447832633							
1.12	44.51440549	0.224079095							
1.124	44.56751918	0.197263048							
1.14	44.32295709	0.22870103							
1.14	44.19695213	0.368403294							
1.188	44.60764255	0.500544949							
1.19	44.36283166	0.247108114							
1.192	44.4587516	0.200258072							
1.215	45.24652095	0.560317445							
1.23	45.02067572	0.235028401							
1.241	44.58170296	0.478371053							
1.265	44.94411084	0.23546996							
1.3	45.0162581	0.242719168							
1.305	44.74016933	0.259540115							
1.307	45.41074411	0.31469671							
1.315	44.97135777	0.187508839							
1.34	45.06750558	0.275015093							
1.35	44.82706548	0.185705412							
1.37	45.04971335	0.26274845							
1.39	44.87623434	0.250631965							
1.414	44.80376614	0.346181483							
1.37	44.79013248	0.32							
1.39	44.83044953	0.59							
1.551	45.33102411	0.4							
